9.000000e+00	1.616879e-21
9.250000e+00	1.032935e-21
9.500000e+00	3.707527e-22
9.750000e+00	2.251262e-22
1.000000e+01	1.644769e-22
1.025000e+01	1.321832e-22
1.050000e+01	1.122836e-22
1.075000e+01	9.868800e-23
1.100000e+01	8.865925e-23
1.125000e+01	8.082923e-23
1.150000e+01	7.445760e-23
1.175000e+01	6.911481e-23
1.200000e+01	6.453455e-23
1.225000e+01	6.054364e-23
1.250000e+01	5.702269e-23
1.275000e+01	5.388538e-23
1.300000e+01	5.106719e-23
1.325000e+01	4.851850e-23
1.350000e+01	4.619980e-23
1.375000e+01	4.407937e-23
1.400000e+01	4.213140e-23
1.425000e+01	4.033450e-23
1.450000e+01	3.867088e-23
1.475000e+01	3.712569e-23
1.500000e+01	3.568601e-23
1.525000e+01	3.434114e-23
1.550000e+01	3.308179e-23
1.575000e+01	3.189982e-23
1.600000e+01	3.078824e-23
1.625000e+01	2.974092e-23
1.650000e+01	2.875253e-23
1.675000e+01	2.781824e-23
1.700000e+01	2.693376e-23
1.725000e+01	2.609545e-23
1.750000e+01	2.529979e-23
1.775000e+01	2.454377e-23
1.800000e+01	2.382467e-23
1.825000e+01	2.313998e-23
1.850000e+01	2.248741e-23
1.875000e+01	2.186491e-23
1.900000e+01	2.127060e-23
1.925000e+01	2.070276e-23
1.950000e+01	2.015977e-23
1.975000e+01	1.964015e-23
2.000000e+01	1.914263e-23
2.025000e+01	1.866586e-23
2.050000e+01	1.820879e-23
2.075000e+01	1.777029e-23
2.100000e+01	1.734934e-23
2.125000e+01	1.694509e-23
2.150000e+01	1.655664e-23
2.175000e+01	1.618318e-23
2.200000e+01	1.582396e-23
2.225000e+01	1.547828e-23
2.250000e+01	1.514548e-23
2.275000e+01	1.482494e-23
2.300000e+01	1.451609e-23
2.325000e+01	1.421841e-23
2.350000e+01	1.393135e-23
2.375000e+01	1.365442e-23
2.400000e+01	1.338722e-23
2.425000e+01	1.312927e-23
2.450000e+01	1.288018e-23
2.475000e+01	1.263958e-23
2.500000e+01	1.240711e-23
2.525000e+01	1.218239e-23
2.550000e+01	1.196517e-23
2.575000e+01	1.175507e-23
2.600000e+01	1.155182e-23
2.625000e+01	1.135518e-23
2.650000e+01	1.116485e-23
2.675000e+01	1.098060e-23
2.700000e+01	1.080217e-23
2.725000e+01	1.062935e-23
2.750000e+01	1.046193e-23
2.775000e+01	1.029970e-23
2.800000e+01	1.014246e-23
2.825000e+01	9.990031e-24
2.850000e+01	9.842231e-24
2.875000e+01	9.698889e-24
2.900000e+01	9.559841e-24
2.925000e+01	9.424964e-24
2.950000e+01	9.294076e-24
2.975000e+01	9.167034e-24
3.000000e+01	9.043709e-24
3.025000e+01	8.923996e-24
3.050000e+01	8.807731e-24
3.075000e+01	8.694820e-24
3.100000e+01	8.585146e-24
3.125000e+01	8.478583e-24
3.150000e+01	8.375058e-24
3.175000e+01	8.274431e-24
3.200000e+01	8.176643e-24
3.225000e+01	8.081572e-24
3.250000e+01	7.989139e-24
3.275000e+01	7.899270e-24
3.300000e+01	7.811854e-24
3.325000e+01	7.726841e-24
3.350000e+01	7.644145e-24
3.375000e+01	7.563678e-24
3.400000e+01	7.485375e-24
3.425000e+01	7.409194e-24
3.450000e+01	7.335041e-24
3.475000e+01	7.262856e-24
3.500000e+01	7.192578e-24
3.525000e+01	7.124151e-24
3.550000e+01	7.057519e-24
3.575000e+01	6.992636e-24
3.600000e+01	6.929438e-24
3.625000e+01	6.867875e-24
3.650000e+01	6.807898e-24
3.675000e+01	6.749459e-24
3.700000e+01	6.692513e-24
3.725000e+01	6.637014e-24
3.750000e+01	6.582920e-24
3.775000e+01	6.530189e-24
3.800000e+01	6.478783e-24
3.825000e+01	6.428670e-24
3.850000e+01	6.379802e-24
3.875000e+01	6.332145e-24
3.900000e+01	6.285661e-24
3.925000e+01	6.240316e-24
3.950000e+01	6.196077e-24
3.975000e+01	6.152931e-24
4.000000e+01	6.110828e-24
4.025000e+01	6.069737e-24
